PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME+,COMMAND
4,a,20,0,240048,0,0,S,0,0.3,00:00.0,gsd-a11y-settin
61,a,20,0,0,0,0,S,0,1,00:00.0,gjs
1383,a,20,0,0,14928,0,S,0,0,00:00.1,ibus-engine-sim
1513,a,0,0,236280,0,10224,R,0,0,00:00.6,gsd-a11y-settin
2449,a,20,0,658516,7856,0,I,0,0,00:00.1,gjs
39,a,20,-1,0,0,0,S,0,0.1,00:00.0,pulseaudio
2331,a,9,0,0,0,0,S,0,0.1,00:00.0,watchdogd
1509,a,20,0,0,0,0,S,0,0.1,00:00.0,dbus
1512,a,21,0,344480,11276,0,S,0,0.1,00:01.1,gjs
164,a,20,0,0,5368,0,S,0,0,00:01.4,gjs
29,a,20,19,0,0,0,S,0,0.4,00:00.0,acpi_thermal_pm
4,a,21,0,0,0,7516,S,1.2,0.1,00:00.1,dconf-service
1736,a,20,-20,0,0,42048,S,0,0,00:00.4,gnome-keyring-d
1540,a,20,0,0,0,22856,S,0,0,00:00.0,top
1617,a,20,0,0,1248,7100,R,0,0.7,00:00.0,pulseaudio
41,a,20,-20,0,39544,0,S,0,0,00:00.0,xenbus_probe
624,a,20,0,0,0,6644,S,0,0.1,00:00.0,pipewire-media-
2467,a,20,0,0,0,0,S,0,0,00:00.5,bash
2,a,20,-20,0,65964,0,S,0,0,00:10.1,firefox
2101,a,-51,0,0,0,0,S,0,0.1,00:00.0,kerneloops
640,a,0,-20,0,0,5412,S,0,0,00:00.0,gsd-housekeepin
1980,a,20,-20,0,77720,6488,S,0,0,00:00.1,card0-crtc1
1615,a,20,-20,0,10732,0,S,0,0.7,00:00.0,rtkit-daemon
73,a,20,0,1003080,0,0,S,0,0.2,00:00.1,scsi_tmf_2
1753,a,20,0,0,11804,0,S,0,0.1,00:00.0,gjs
19,a,20,0,13076,0,4648,S,0,0,00:00.1,kworker/0:3-eve+
2101,a,rt,0,0,0,0,I,0.7,0.3,00:00.0,pulseaudio
28,a,0,-1,13076,8160,0,S,12.5,1.5,00:00.1,kworker/u2:6-ev+
1611,a,20,0,2403580,0,0,S,0,0,00:00.8,avahi-daemon
1,root,20,0,347804,0,0,S,0,0.1,00:00.9,gnome-terminal-
2,root,-51,0,0,0,19408,S,0,0.1,00:00.1,gnome-session-b
3,root,20,0,48272,0,0,S,0,0.3,00:00.1,dbus-daemon
4,root,9,0,0,0,0,S,0,0,00:00.1,gsd-keyboard
5,root,20,-20,236624,1008,69372,S,0,0.8,00:00.0,charger_manager
6,root,0,0,566264,0,8172,I,0,0,00:00.0,gnome-shell
7,root,20,0,0,18564,0,S,0,0,00:00.0,systemd-logind
8,root,20,0,0,0,25440,S,0,0.5,00:00.0,rtkit-daemon
9,root,20,0,317016,8136,0,I,0,0,00:00.4,packagekitd
10,root,19,0,118152,6808,0,S,0,0,00:00.1,gvfs-mtp-volume
11,root,20,0,0,0,0,S,0,0.2,00:23.5,gdm-session-wor
12,root,0,0,567644,0,0,S,0,0.7,00:00.1,kblockd
13,root,39,1,497100,18564,25816,R,0,0,00:00.0,gvfsd-metadata
14,root,20,0,0,54960,0,S,0,0.8,00:00.0,rtkit-daemon
15,root,20,0,154000,19884,3352,S,0,0.3,00:00.1,rcu_tasks_trace+
16,root,20,-20,0,0,0,S,0,0.1,00:00.0,fusermount3
17,root,20,0,0,7544,0,S,0,0.4,00:00.1,top
18,root,0,0,0,6648,0,I,0,0.7,00:00.0,bash
19,root,20,0,222400,0,920,S,0,0.2,00:00.0,gsd-wacom
20,root,20,0,0,6716,0,I,0,0,00:00.1,kerneloops
21,root,20,0,0,0,0,S,0,0.1,00:00.1,card0-crtc1
22,root,20,0,0,5364,17584,S,0,0.4,00:00.0,ext4-rsv-conver
23,root,9,0,163016,0,0,I,0,0,00:00.0,ModemManager
24,root,20,0,0,0,0,I,0.2,0.1,00:00.0,blkcg_punt_bio
25,root,39,0,0,0,4648,S,0,0.1,00:00.0,systemd-timesyn
26,root,20,0,0,18564,0,S,0.5,0,00:00.0,systemd-journal
27,root,20,0,0,0,0,I,0,0.1,00:00.3,ecryptfs-kthread
28,root,20,0,0,30480,42680,S,0,0.1,00:03.3,rcu_par_gp
29,root,20,0,2403584,7344,17852,S,0,0,00:00.0,kworker/u2:2-fl+
30,root,20,0,0,1540,6116,S,0,0,00:00.0,gsd-wacom
31,root,20,0,0,0,4692,S,0,0.1,00:00.1,gnome-shell-cal
32,root,-51,0,340604,0,4148,I,0.5,0,00:00.0,rtkit-daemon
33,root,20,0,375448,24904,0,S,0,0,00:00.1,cron
1710,avahi,9,0,0,6528,11664,S,0,0.1,00:00.1,card0-crtc6
16,lp,25,0,0,0,7200,S,0,0.1,00:00.1,xdg-desktop-por
2130,lp,39,0,0,5416,21060,S,0,0.1,00:00.1,systemd-journal
1664,lp,20,-20,13076,7416,0,S,0,0.8,00:00.0,firefox
654,rtkit,20,1,210288,0,12096,S,0,0.1,00:00.0,gvfs-mtp-volume
2138,rtkit,20,0,0,0,0,S,0,0.1,00:00.1,systemd-logind
19,syslog,20,0,2208900,0,3244,S,0,1.5,00:00.1,dbus
602,syslog,20,0,375448,59484,0,I,0,0.5,00:00.0,gvfsd-fuse
1731,syslog,20,0,2888,8160,0,S,0,0.1,00:00.1,systemd-timesyn
640,systemd+,20,0,23452,0,0,I,0.2,0,00:00.1,gnome-shell
453,systemd+,20,-20,0,0,0,S,0,0,00:00.1,gnome-remote-de
